"Word","Length","Log_Freq_HAL"
"swan","4","7.40"
"swans","5","6.26"
"swap","4","9.54"
"swarm","5","7.71"
"swastika","8","6.18"
"swat","4","6.87"
"sway","4","7.29"
"swayed","6","6.59"
"swaying","7","6.16"
"swear","5","8.52"
"swearing","8","6.83"
"swears","6","6.45"
"sweat","5","8.53"
"sweater","7","7.18"
"sweaters","8","6.01"
"sweating","8","6.94"
"sweatshirt","10","6.10"
"sweaty","6","6.94"
"Sweden","6","9.36"
"Swedes","6","6.38"
"Swedish","7","8.63"
"sweep","5","8.08"
"sweeping","8","7.88"
"sweet","5","9.65"
"sweeter","7","6.07"
"sweetest","8","6.44"
"sweetheart","10","6.88"
"sweetie","7","6.53"
"sweetness","9","6.51"
"sweets","6","6.39"
"swell","5","7.54"
"swelled","7","6.21"
"swelling","8","7.29"
"swept","5","7.61"
"swift","5","8.30"
"swiftly","7","6.79"
"swim","4","8.54"
"swimmer","7","6.46"
"swimmers","8","6.55"
"swimming","8","8.74"
"swimsuit","8","6.57"
"swine","5","6.68"
"swing","5","8.95"
"swinging","8","7.61"
"swings","6","7.34"
"swipe","5","6.51"
"swirl","5","6.45"
"swirling","8","6.58"
"Swiss","5","8.75"
"switch","6","10.57"
"switchable","10","6.14"
"switched","8","9.08"
"switches","8","9.03"
"switchboard","11","6.29"
"switching","9","9.25"
"Switzerland","11","9.09"
"swivel","6","6.23"
"swollen","7","7.48"
"swoop","5","6.58"
"sword","5","9.73"
"swords","6","9.15"
"swore","5","7.02"
"sworn","5","7.80"
"swung","5","7.15"
"Sydney","6","8.99"
"syllable","8","7.02"
"syllables","9","6.55"
"syllabus","8","6.39"
"sylvan","6","8.50"
"symbol","6","9.42"
"symbolic","8","8.51"
"symbolism","9","7.08"
"symbols","7","8.96"
"symmetric","9","6.89"
"symmetrical","11","6.40"
"symmetry","8","7.39"
"sympathetic","11","7.81"
"sympathies","10","6.55"
"sympathize","10","6.96"
"sympathy","8","8.23"
"symphonic","9","6.23"
"symphonies","10","6.82"
"symphony","8","8.28"
"symposium","9","8.64"
"symptom","7","7.77"
"symptomatic","11","6.24"
"symptoms","8","9.14"
"synagogue","9","6.79"
"sync","4","8.66"
"synchronization","15","7.04"
"synchronize","11","6.46"
"synchronized","12","6.54"
"synchronous","11","7.74"
"syndicate","9","7.32"
"syndicated","10","7.38"
"syndication","11","6.42"
"syndrome","8","8.86"
"synonym","7","6.63"
"synonymous","10","6.86"
"subdivision","11","6.99"
"subdivisions","12","6.08"
"subdue","6","7.23"
"subdued","7","6.47"
"subgroups","9","7.01"
"subject","7","11.82"
"subjected","9","8.06"
"subjects","8","9.56"
"subjective","10","8.62"
"subjectivity","12","6.08"
"subject's","9","6.25"
"sublime","7","6.79"
"subliminal","10","6.90"
"submarine","9","7.72"
"submarines","10","6.82"
"submerged","9","6.68"
"submission","10","9.30"
"submissions","11","9.23"
"submissive","10","7.78"
"submit","6","10.07"
"submits","7","6.23"
"submitted","9","9.46"
"submitting","10","8.10"
"subordinate","11","6.77"
"subpoena","8","6.24"
"subroutine","10","7.35"
"subparagraph","12","7.38"
"subroutines","11","6.62"
"subs","4","7.89"
"subscribe","9","10.74"
"subscribed","10","8.21"
"subscriber","10","8.13"
"subscribers","11","9.34"
"subscribing","11","8.03"
"subscription","12","9.75"
"subsection","10","8.51"
"subsequent","10","8.99"
"subsequently","12","8.33"
"substitutes","11","7.03"
"substitutions","13","6.44"
"subservient","11","6.01"
"subsided","8","6.30"
"subsidiaries","12","6.68"
"subsidiary","10","8.12"
"subsidies","9","8.01"
"subsidize","9","6.95"
"subsidized","10","7.31"
"subsidy","7","7.32"
"subsistence","11","6.10"
"subspace","8","7.68"
"substance","9","9.01"
"substances","10","8.05"
"substandard","11","6.51"
"substantial","11","9.24"
"substantially","13","8.36"
"substantiate","12","6.94"
"substantive","11","7.45"
"substitute","10","9.03"
"substituted","11","7.47"
"substituting","12","7.01"
"substitution","12","7.45"
"substrate","9","7.00"
"subtracting","11","6.02"
"succeeded","9","8.35"
"succeeding","10","6.98"
"subsystem","9","7.93"
"subsystems","10","7.44"
"subtitle","8","6.27"
"subtitled","9","6.88"
"subtle","6","8.87"
"subtleties","10","6.13"
"subtlety","8","6.55"
"subtly","6","6.48"
"subtract","8","7.51"
"subtype","7","6.27"
"suburb","6","7.52"
"suburban","8","7.71"
"suburbs","7","7.84"
"subversive","10","6.61"
"subvert","7","6.39"
"subway","6","7.57"
"succeed","7","9.00"
"succeeds","8","7.06"
"success","7","10.52"
"successes","9","7.47"
"successful","10","10.38"
"successfully","12","9.70"
"succession","10","7.41"
"successive","10","7.24"
"successor","9","7.67"
"successors","10","6.42"
"succinct","8","6.01"
"succumb","7","6.18"
"such","4","12.82"
"suck","4","9.53"
"sucked","6","8.78"
"sucker","6","7.83"
"suckers","7","7.18"
"sucking","7","8.61"
"suction","7","6.63"
"Sudan","5","6.78"
"sudden","6","9.07"
"suddenly","8","9.96"
"sue","3","9.30"
"sued","4","8.05"
"suede","5","6.50"
"suffer","6","9.37"
"suffered","8","8.85"
"sufferers","9","6.32"
"suffering","9","9.26"
"sufferings","10","6.26"
"suffers","7","7.84"
"suffice","7","8.08"
"sufficient","10","9.60"
"sufficiently","12","8.50"
"suffix","6","7.50"
"suffrage","8","6.06"
"sugar","5","9.57"
"suggest","7","10.83"
"suggested","9","10.17"
"suggesting","10","9.06"
"suggestion","10","9.77"
"suggestions","11","10.86"
"suggestive","10","6.41"
"suggests","8","9.29"
"suicidal","8","7.40"
"suicide","7","9.19"
"suicides","8","6.74"
"suing","5","6.96"
"suit","4","9.81"
"suitability","11","6.56"
"suitable","8","9.39"
"suitably","8","6.69"
"suitcase","8","7.10"
"suite","5","10.87"
"suited","6","8.43"
"suites","6","7.58"
"suits","5","8.73"
"sulfur","6","6.52"
"sulphur","7","6.32"
"sultan","6","6.95"
"sum","3","9.52"
"summarize","9","8.22"
"summarized","10","7.31"
"summarizes","10","6.64"
"summarizing","11","6.51"
"summary","7","9.97"
"summation","9","6.22"
"summed","6","6.98"
"summer","6","10.45"
"summers","7","7.77"
"summertime","10","6.14"
"summit","6","8.63"
"summon","6","8.53"
"summoned","8","7.06"
"summons","7","6.06"
"sums","4","7.78"
"sun","3","11.21"
"Sunday","6","10.18"
"Sundays","7","7.63"
"Sunday's","8","6.36"
"sundry","6","6.38"
"sunflower","9","6.16"
"sung","4","8.23"
"sunglasses","10","8.14"
"sunk","4","7.35"
"sunken","6","7.52"
"sunlight","8","7.87"
"sunny","5","8.39"
"sunrise","7","7.63"
"suns","4","7.83"
"sun's","5","8.04"
"sunset","6","8.15"
"sunshine","8","7.87"
"sunspot","7","6.19"
"sup","3","7.02"
"super","5","10.25"
"superb","6","8.23"
"superficial","11","7.52"
"superficially","13","6.02"
"superfluous","11","6.61"
"superintendent","14","6.51"
"superior","8","9.87"
"stir","4","8.42"
"superiority","11","8.01"
"superiors","9","6.73"
"superman","8","8.94"
"supermarket","11","7.42"
"supermarkets","12","6.70"
"supernatural","12","7.65"
"supernova","9","7.07"
"superseded","10","6.99"
"stockings","9","7.33"
"supersonic","10","6.25"
"stirred","7","6.91"
"stirring","8","7.52"
"stitch","6","8.03"
"stitched","8","6.24"
"stitches","8","7.38"
"stochastic","10","6.66"
"stock","5","10.68"
"stockholders","12","6.62"
"stocking","8","7.27"
"stockman","8","6.00"
"stocks","6","9.18"
"stoke","5","6.25"
"stole","5","8.22"
"stolen","6","8.91"
"stomach","7","8.95"
"stomp","5","7.31"
"stomped","7","6.37"
"stomping","8","6.28"
"stone","5","10.40"
"stoned","6","7.61"
"stones","6","9.21"
"stone's","7","6.14"
"stonewall","9","6.00"
"stony","5","6.89"
"stood","5","9.57"
"stooges","7","6.39"
"stool","5","7.12"
"stoop","5","6.65"
"stop","4","11.48"
"stopped","7","10.17"
"stopper","7","6.24"
"stopping","8","8.88"
"stops","5","9.31"
"storage","7","9.88"
"store","5","10.88"
"stored","6","9.64"
"storefront","10","6.36"
"stores","6","10.09"
"stories","7","10.60"
"storing","7","7.94"
"storm","5","9.90"
"storms","6","7.72"
"stormy","6","6.61"
"story","5","11.48"
"storyline","9","8.12"
"storylines","10","6.78"
"storyteller","11","6.53"
"stout","5","7.57"
"stove","5","7.52"
"stoves","6","6.11"
"straight","8","10.66"
"straighten","10","7.05"
"straightened","12","6.88"
"straightforward","15","8.07"
"strain","6","9.18"
"strained","8","7.11"
"straining","9","6.68"
"strains","7","7.28"
"strait","6","7.08"
"straits","7","7.03"
"strand","6","9.70"
"stranded","8","7.82"
"strands","7","7.06"
"strange","7","10.38"
"strangely","9","7.88"
"strangeness","11","6.05"
"stranger","8","8.59"
"strangers","9","8.13"
"strangest","9","6.64"
"strangle","8","6.15"
"strap","5","8.12"
"strapped","8","7.20"
"straps","6","7.78"
"strata","6","6.68"
"strategic","9","9.09"
"strategically","13","6.31"
"strategy","8","9.86"
"stratosphere","12","6.94"
"straw","5","8.26"
"strawberries","12","6.44"
"strawberry","10","7.39"
"straws","6","6.30"
"stray","5","7.54"
"streak","6","7.82"
"streaks","7","6.38"
"stream","6","9.36"
"streamer","8","6.66"
"streaming","9","6.64"
"streamline","10","6.64"
"stresses","8","7.22"
"stressful","9","6.97"
"streamlined","11","6.28"
"streams","7","8.25"
"street","6","11.24"
"streets","7","9.21"
"strength","8","10.16"
"strengthen","10","7.84"
"strengthened","12","6.61"
"strengthening","13","7.03"
"strengthens","11","6.05"
"strengths","9","8.01"
"strenuous","9","6.04"
"stress","6","9.41"
"stressed","8","8.09"
"stressing","9","6.62"
"stretch","7","9.15"
"stretched","9","8.35"
"stretcher","9","6.20"
"stretches","9","7.58"
"stretching","10","8.53"
"stricken","8","6.40"
"strict","6","9.04"
"strictest","9","7.20"
"strictly","8","9.28"
"stride","6","6.81"
"strides","7","6.27"
"strife","6","6.79"
"strike","6","9.68"
"striker","7","6.78"
"strikes","7","8.91"
"striking","8","8.56"
"string","6","10.41"
"stringent","9","6.82"
"strings","7","9.46"
"strip","5","9.69"
"stripe","6","7.47"
"striped","7","6.93"
"stripes","7","7.60"
"stripped","8","8.22"
"stripper","8","6.18"
"strips","6","8.32"
"strive","6","7.77"
"strives","7","6.07"
"striving","8","7.13"
"strode","6","6.07"
"stroke","6","8.71"
"stroked","7","7.42"
"strokes","7","8.02"
"stroking","8","7.67"
"stroll","6","6.33"
"stroller","8","6.39"
"strong","6","11.15"
"strongarm","9","6.30"
"stronger","8","9.16"
"strongest","9","8.17"
"stronghold","10","8.22"
"strongly","8","9.88"
"struck","6","8.89"
"structural","10","8.40"
"structure","9","10.31"
"structured","10","8.51"
"structures","10","9.35"
"structuring","11","6.44"
"struggle","8","9.21"
"struggled","9","7.58"
"struggles","9","7.46"
"struggling","10","8.22"
"strung","6","6.84"
"strut","5","6.59"
"Stuart","6","8.84"
"stub","4","6.67"
"stubborn","8","7.38"
"stubs","5","6.63"
"stuck","5","9.97"
"stud","4","8.05"
"student","7","10.94"
"students","8","10.93"
"student's","9","7.19"
"studied","7","8.93"
"studies","7","10.43"
"studio","6","9.67"
"studios","7","8.45"
"studs","5","7.00"
"study","5","10.84"
"studying","8","9.09"
"stuff","5","11.85"
"stuffed","7","8.09"
"stuffing","8","7.15"
"stumble","7","7.03"
"stumbled","8","7.54"
"stumbling","9","6.93"
"stump","5","6.76"
"stumped","7","7.12"
"stumps","6","6.12"
"stun","4","7.48"
"stung","5","6.28"
"stunned","7","7.58"
"stunning","8","7.72"
"stunt","5","7.43"
"stunts","6","6.50"
"stupendous","10","6.54"
"stupid","6","10.72"
"stupidest","9","6.49"
"stupidity","9","8.69"
"stupidly","8","6.45"
"sturdy","6","7.38"
"sturgeon","8","6.03"
"style","5","10.67"
"styled","6","6.40"
"styles","6","9.12"
"styling","7","6.50"
"stylish","7","6.26"
"stylistic","9","6.47"
"stylus","6","7.40"
"sub","3","9.70"
"subcommittee","12","7.43"
"subconscious","12","7.08"
"subcontinent","12","6.22"
"stable","6","9.66"
"Stacey","6","7.12"
"stack","5","9.59"
"stacked","7","7.32"
"stacking","8","6.28"
"stacks","6","7.97"
"Stacy","5","7.28"
"stadium","7","9.06"
"staff","5","10.62"
"staffed","7","6.65"
"staffing","8","8.69"
"Stafford","8","7.18"
"staffs","6","6.63"
"stage","5","10.33"
"staged","6","7.70"
"stages","6","8.74"
"staggered","9","6.36"
"staggering","10","6.79"
"staging","7","6.77"
"stagnant","8","6.20"
"stagnation","10","6.22"
"stain","5","7.48"
"stained","7","7.07"
"staining","8","6.05"
"stainless","9","7.99"
"stains","6","7.16"
"stair","5","6.83"
"staircase","9","6.78"
"stairs","6","8.63"
"stairway","8","6.57"
"stake","5","8.42"
"stakes","6","7.55"
"stale","5","7.24"
"stalemate","9","6.15"
"Stalin","6","7.87"
"Stalin's","8","6.16"
"stalk","5","6.58"
"stalker","7","7.95"
"stalking","8","6.75"
"stall","5","7.94"
"stalled","7","6.51"
"stalling","8","6.68"
"stallion","8","6.89"
"stalls","6","6.92"
"stamina","7","6.64"
"stamp","5","8.83"
"stamped","7","8.23"
"stampede","8","6.86"
"stamping","8","6.40"
"stamps","6","8.70"
"Stan","4","8.73"
"stance","6","8.36"
"stances","7","6.15"
"stand","5","10.79"
"standard","8","11.59"
"standardization","15","6.97"
"standardize","11","6.12"
"standardized","12","7.83"
"standards","9","10.46"
"standby","7","7.00"
"standing","8","10.09"
"standpoint","10","7.96"
"stands","6","9.82"
"Stanford","8","9.05"
"Stanley","7","8.60"
"staple","6","7.01"
"staples","7","7.02"
"star","4","11.31"
"starboard","9","6.08"
"starch","6","6.44"
"stardust","8","6.07"
"stare","5","7.97"
"stared","6","8.08"
"stares","6","6.91"
"staring","7","8.36"
"stark","5","7.91"
"starlight","9","6.20"
"starred","7","7.27"
"starring","8","7.92"
"stars","5","10.02"
"start","5","12.06"
"started","7","11.50"
"starter","7","8.89"
"starting","8","10.89"
"startled","8","7.12"
"startling","9","7.03"
"starts","6","10.33"
"starvation","10","7.21"
"starve","6","7.31"
"starved","7","6.58"
"starving","8","7.65"
"stash","5","6.95"
"stasis","6","8.18"
"stat","4","8.27"
"state","5","12.20"
"stated","6","10.49"
"statement","9","10.93"
"statements","10","10.03"
"states","6","11.64"
"state's","7","8.02"
"statesman","9","6.23"
"statewide","9","6.71"
"static","6","9.73"
"stating","7","9.14"
"station","7","10.55"
"stationary","10","7.58"
"stationed","9","7.21"
"stationery","10","6.21"
"stations","8","9.60"
"station's","9","6.15"
"statistic","9","7.45"
"statistical","11","9.03"
"statistically","13","7.60"
"statistician","12","6.19"
"statistics","10","9.86"
"statue","6","8.96"
"statues","7","6.96"
"stature","7","6.97"
"status","6","10.69"
"statute","7","8.19"
"statutes","8","7.45"
"statutory","9","7.25"
"staunch","7","6.27"
"stay","4","10.80"
"stayed","6","9.10"
"staying","7","8.96"
"stays","5","8.72"
"stead","5","6.52"
"steadily","8","7.76"
"steady","6","8.59"
"steak","5","7.32"
"steaks","6","6.16"
"steal","5","9.33"
"stealing","8","8.46"
"steals","6","7.48"
"stealth","7","8.90"
"steam","5","8.56"
"steamboat","9","6.30"
"steamed","7","6.34"
"steaming","8","6.63"
"steamy","6","6.14"
"steed","5","6.05"
"steel","5","9.82"
"Steelers","8","6.59"
"steely","6","6.37"
"steep","5","8.09"
"steer","5","7.73"
"steering","8","8.40"
"stein","5","7.93"
"Stella","6","7.16"
"stellar","7","7.97"
"stem","4","8.18"
"stems","5","8.11"
"stench","6","6.89"
"step","4","10.69"
"Stephanie","9","8.21"
"Stephen","7","10.21"
"Stephens","8","7.65"
"stepped","7","8.68"
"stepping","8","8.02"
"steps","5","9.86"
"stereo","6","9.45"
"Steve","5","11.24"
"Stevenson","9","7.34"
"stew","4","7.35"
"stereotype","10","7.59"
"stereotypes","11","7.70"
"sterile","7","7.29"
"sterilization","13","6.62"
"sterilized","10","6.02"
"sterling","8","8.63"
"stern","5","8.51"
"steroid","7","6.50"
"steroids","8","7.25"
"steward","7","7.05"
"stick","5","10.25"
"sticker","7","8.43"
"sticking","8","8.62"
"sticks","6","8.54"
"sticky","6","8.19"
"stiff","5","8.73"
"stiffer","7","6.45"
"stiffness","9","6.84"
"stifle","6","6.62"
"stigma","6","6.72"
"stiles","6","6.35"
"still","5","12.80"
"stills","6","6.91"
"stilt","5","6.05"
"stimulant","9","6.30"
"stimulate","9","7.50"
"stimulated","10","6.90"
"stimulates","10","6.19"
"stimulating","11","7.55"
"stimulation","11","7.58"
"stimuli","7","6.50"
"stimulus","8","6.90"
"sting","5","7.98"
"stinger","7","6.04"
"stinging","8","6.39"
"stingray","8","6.91"
"stink","5","7.34"
"stinking","8","7.03"
"stinky","6","6.33"
"stint","5","6.43"
"stipend","7","6.01"
"speaks","6","8.98"
"spear","5","7.40"
"spec","4","8.97"
"special","7","11.57"
"specialist","10","9.27"
"specialists","11","8.51"
"speciality","10","6.29"
"specialization","14","7.14"
"specialize","10","8.40"
"specialized","11","8.81"
"specializes","11","8.41"
"specially","9","8.22"
"specialties","11","6.94"
"specializing","12","8.68"
"specialty","9","8.47"
"species","7","9.85"
"specific","8","11.16"
"specifically","12","10.39"
"specification","13","8.97"
"specifications","14","8.91"
"specificity","11","6.18"
"specifics","9","8.32"
"specified","9","9.57"
"specifies","9","8.00"
"specify","7","9.69"
"specifying","10","7.92"
"specimen","8","6.85"
"specimens","9","6.89"
"speck","5","6.20"
"spectacle","9","6.77"
"spectacular","11","8.67"
"spectator","9","7.02"
"spectators","10","6.82"
"specter","7","7.92"
"spectra","7","7.82"
"spectral","8","8.42"
"spectroscopy","12","6.75"
"spectrum","8","9.36"
"speculate","9","7.64"
"speculated","10","6.78"
"speculations","12","6.74"
"speculators","11","6.40"
"sped","4","6.68"
"speculating","11","6.70"
"speculation","11","8.78"
"speculative","11","7.49"
"speech","6","10.50"
"speeches","8","7.88"
"speechless","10","6.27"
"speed","5","11.42"
"speeding","8","7.65"
"speedometer","11","6.17"
"speeds","6","9.20"
"speedup","7","6.11"
"speedway","8","7.18"
"speedy","6","7.30"
"spell","5","9.97"
"spelled","7","8.45"
"spelling","8","9.47"
"spells","6","8.97"
"spend","5","10.62"
"spending","8","9.96"
"spends","6","8.20"
"spent","5","10.41"
"sperm","5","8.44"
"spew","4","8.12"
"spewing","7","7.10"
"sphere","6","9.43"
"spheres","7","7.16"
"spherical","9","6.99"
"sphincter","9","6.22"
"sphinx","6","7.66"
"spice","5","7.85"
"spices","6","7.08"
"spicy","5","6.74"
"spider","6","8.85"
"spies","5","7.33"
"spike","5","8.35"
"spiked","6","6.31"
"spikes","6","7.09"
"spill","5","7.38"
"spilled","7","7.08"
"spilling","8","6.55"
"spillover","9","6.02"
"spills","6","6.27"
"spin","4","9.28"
"spinach","7","6.80"
"spinal","6","8.09"
"spindle","7","6.92"
"spine","5","8.55"
"spinning","8","8.50"
"spiral","6","8.21"
"spirit","6","10.62"
"spirited","8","6.79"
"spirits","7","8.60"
"spiritually","11","7.22"
"spiritual","9","9.68"
"spirituality","12","7.48"
"spit","4","8.23"
"spite","5","8.67"
"spitfire","8","6.51"
"spitting","8","7.91"
"splash","6","7.64"
"splashed","8","6.15"
"splashing","9","6.08"
"splat","5","6.36"
"spleen","6","9.88"
"splendid","8","6.91"
"splice","6","6.51"
"spliced","7","6.21"
"splinter","8","6.31"
"split","5","10.01"
"splits","6","7.65"
"splitting","9","8.17"
"spoil","5","7.48"
"spoiled","7","7.58"
"spoiler","7","8.28"
"spoils","6","7.42"
"Spokane","7","7.03"
"spoke","5","9.44"
"spoken","6","9.24"
"spokes","6","7.07"
"spokesman","9","8.50"
"sponge","6","7.38"
"spokeswoman","11","6.14"
"sponsor","7","9.01"
"sponsored","9","8.92"
"sponsoring","10","7.78"
"sponsors","8","8.24"
"sponsorship","11","7.99"
"spontaneous","11","7.78"
"spontaneously","13","6.99"
"spoof","5","6.58"
"spooky","6","6.83"
"spool","5","8.39"
"spoon","5","7.87"
"sporadic","8","6.65"
"spore","5","7.98"
"spores","6","6.19"
"sport","5","9.67"
"sporting","8","8.20"
"sports","6","10.17"
"sporty","6","6.08"
"spot","4","9.86"
"spotlight","9","7.89"
"spots","5","8.91"
"spotted","7","8.17"
"spotting","8","6.82"
"spotty","6","6.05"
"spouse","6","8.39"
"spouses","7","7.21"
"spout","5","6.99"
"spouting","8","7.14"
"sprang","6","6.55"
"sprawl","6","6.77"
"spray","5","8.55"
"sprayed","7","7.03"
"spraying","8","7.13"
"sprays","6","6.61"
"spread","6","10.03"
"spreading","9","8.59"
"spreads","7","7.37"
"spree","5","6.28"
"spring","6","10.17"
"Springfield","11","8.29"
"springing","9","6.00"
"springs","7","9.29"
"sprinkle","8","7.13"
"sprinkled","9","6.15"
"sprint","6","8.01"
"sprite","6","7.67"
"sprocket","8","6.07"
"sprout","6","6.01"
"spruce","6","6.78"
"sprung","6","6.86"
"spry","4","6.63"
"spud","4","6.30"
"spun","4","7.36"
"spunk","5","6.31"
"spur","4","6.93"
"spurious","8","7.10"
"spurs","5","6.99"
"spurt","5","6.49"
"spy","3","8.57"
"spying","6","7.24"
"squad","5","8.48"
"squadron","8","7.78"
"squadrons","9","6.19"
"squads","6","7.02"
"square","6","9.85"
"squared","7","6.98"
"squarely","8","6.57"
"squares","7","7.89"
"squash","6","7.10"
"squashed","8","6.35"
"squat","5","7.40"
"squats","6","6.23"
"squatting","9","6.09"
"squeak","6","6.25"
"squeaky","7","6.02"
"squeal","6","6.38"
"squeeze","7","8.27"
"squeezed","8","7.68"
"squeezing","9","7.34"
"squid","5","7.03"
"squire","6","7.43"
"squirm","6","6.59"
"squirmed","8","6.26"
"squirrel","8","7.60"
"squirt","6","7.22"
"squirting","9","6.40"
"stab","4","7.40"
"stabbed","7","6.66"
"stability","9","9.09"
"stabilization","13","6.53"
"stabilize","9","6.97"
"stabilized","10","6.18"
"stabilizing","11","6.13"
"snowy","5","6.63"
"snuff","5","6.97"
"snug","4","7.14"
"so","2","14.05"
"soak","4","7.65"
"soaked","6","7.58"
"soaking","7","7.23"
"soap","4","8.99"
"soapbox","7","6.90"
"soaps","5","7.21"
"soapy","5","6.24"
"soar","4","6.76"
"soared","6","6.01"
"soaring","7","7.17"
"sob","3","7.40"
"sobbing","7","6.66"
"sober","5","7.44"
"sobs","4","6.00"
"soccer","6","8.92"
"social","6","10.97"
"socialism","9","8.36"
"socialist","9","8.68"
"socialize","9","6.56"
"socialized","10","6.78"
"socialization","13","6.75"
"socially","8","8.03"
"societal","8","7.50"
"societies","9","8.70"
"society","7","11.27"
"society's","9","7.33"
"socioeconomic","13","6.25"
"sociological","12","6.84"
"sociology","9","7.71"
"sock","4","7.04"
"socket","6","9.05"
"sockets","7","8.53"
"socks","5","8.22"
"Socrates","8","7.09"
"sod","3","6.98"
"soda","4","8.12"
"sodium","6","7.70"
"sodomy","6","6.60"
"sofa","4","7.32"
"soft","4","10.01"
"softball","8","6.79"
"soften","6","6.67"
"softened","8","6.62"
"softening","9","6.12"
"softer","6","7.35"
"softly","6","8.21"
"softness","8","6.39"
"software","8","12.69"
"soil","4","8.94"
"soiled","6","6.43"
"soils","5","6.42"
"sojourn","7","6.26"
"solar","5","9.17"
"sold","4","12.15"
"solder","6","7.82"
"soldered","8","6.90"
"soldering","9","7.41"
"soldier","7","9.02"
"soldiers","8","9.40"
"sole","4","8.94"
"solely","6","9.08"
"solemn","6","6.58"
"solenoid","8","6.34"
"soles","5","6.91"
"solicit","7","7.11"
"solicitation","12","6.70"
"solicited","9","7.10"
"soliciting","10","7.21"
"solid","5","10.10"
"solidarity","10","7.76"
"solidly","7","6.68"
"solids","6","7.21"
"solitaire","9","7.07"
"solitary","8","6.99"
"solitude","8","6.79"
"solo","4","9.78"
"Solomon","7","7.87"
"Solomon's","9","6.24"
"solos","5","7.33"
"someone","7","12.45"
"soluble","7","6.79"
"solution","8","10.86"
"solutions","9","10.34"
"solve","5","9.90"
"solved","6","9.14"
"solvent","7","7.23"
"solvents","8","6.34"
"solves","6","7.51"
"solving","7","8.80"
"Somalia","7","7.33"
"some","4","13.86"
"somebody","8","10.42"
"somebody's","10","7.22"
"someday","7","8.74"
"somehow","7","10.16"
"someone's","9","8.85"
"someplace","9","7.78"
"somerset","8","6.99"
"something","9","12.71"
"sometime","8","9.50"
"sometimes","9","11.32"
"somewhat","8","10.37"
"somewhere","9","10.71"
"son","3","10.69"
"sonar","5","6.22"
"sonata","6","6.67"
"sonatas","7","6.17"
"song","4","11.00"
"songbook","8","6.08"
"songs","5","10.41"
"sonic","5","8.36"
"Sonny","5","8.17"
"Sonoma","6","7.01"
"sons","4","8.87"
"son's","5","7.52"
"soon","4","11.41"
"sooner","6","8.91"
"soothing","8","6.58"
"sop","3","6.07"
"Sophia","6","6.87"
"Sophie","6","6.83"
"sophisticated","13","8.81"
"sophistication","14","6.76"
"sophomore","9","6.93"
"soprano","7","6.82"
"sorcerer","8","7.74"
"sorceress","9","8.23"
"sorcery","7","7.53"
"sore","4","8.12"
"sorely","6","6.85"
"soreness","8","6.02"
"sores","5","6.43"
"sorority","8","6.28"
"sorrow","6","7.32"
"sorrows","7","6.28"
"sorry","5","11.44"
"sort","4","11.28"
"sorted","6","8.05"
"sorting","7","7.74"
"sorts","5","9.46"
"sought","6","8.86"
"soul","4","10.38"
"souls","5","8.71"
"sound","5","11.71"
"sounded","7","8.90"
"sounding","8","8.45"
"soundly","7","6.30"
"soundness","9","6.04"
"sounds","6","11.15"
"soundtrack","10","8.74"
"soup","4","8.71"
"sour","4","7.76"
"source","6","12.13"
"sources","7","10.78"
"sourdough","9","6.14"
"south","5","11.10"
"Southampton","11","7.13"
"southeast","9","8.50"
"southeastern","12","7.58"
"southern","8","10.09"
"southerners","11","6.21"
"southwest","9","8.30"
"souvenir","8","6.48"
"souvenirs","9","6.32"
"southwestern","12","7.29"
"sovereign","9","7.95"
"sovereignty","11","8.09"
"Soviet","6","9.32"
"Soviets","7","7.59"
"sow","3","6.80"
"soy","3","8.12"
"spa","3","6.94"
"space","5","11.64"
"spacecraft","10","7.96"
"spaced","6","7.30"
"spacer","6","6.39"
"spacers","7","6.57"
"spaces","6","8.81"
"spaceship","9","7.00"
"spacing","7","7.58"
"spade","5","6.96"
"spades","6","6.82"
"spaghetti","9","7.06"
"Spain","5","8.99"
"spake","5","8.12"
"spam","4","10.15"
"span","4","8.13"
"spaniel","7","6.98"
"Spanish","7","9.44"
"spank","5","7.29"
"spanning","8","6.68"
"spans","5","6.88"
"spar","4","6.18"
"spare","5","9.27"
"spared","6","6.88"
"spares","6","6.53"
"spark","5","8.09"
"sparked","7","6.65"
"sparkle","7","6.42"
"sparkling","9","6.53"
"sparks","6","8.09"
"sparring","8","6.44"
"sparrow","7","6.57"
"sparse","6","7.18"
"Spartan","7","6.31"
"spasm","5","6.26"
"spasms","6","6.50"
"spat","4","6.53"
"spatial","7","7.84"
"spatula","7","6.30"
"spawn","5","8.84"
"speak","5","10.89"
"speaker","7","9.71"
"speakers","8","9.59"
"speaker's","9","6.03"
"speaking","8","10.35"
"slacks","6","6.20"
"slag","4","6.36"
"slain","5","6.54"
"slalom","6","6.94"
"slam","4","8.35"
"slammed","7","7.40"
"slamming","8","7.34"
"slander","7","7.65"
"slanderous","10","6.22"
"slang","5","7.58"
"slant","5","7.27"
"slanted","7","6.84"
"slap","4","8.04"
"slapped","7","7.41"
"slapping","8","6.88"
"slaps","5","6.27"
"slash","5","8.03"
"slashed","7","6.38"
"slashes","7","6.55"
"slashing","8","6.60"
"slate","5","6.92"
"slated","6","7.04"
"slaughter","9","7.93"
"slaughtered","11","7.05"
"slaughtering","12","6.00"
"Slav","4","6.08"
"slave","5","9.48"
"slavery","7","8.77"
"slaves","6","8.81"
"Slavic","6","7.37"
